APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9788227,K12,HS,5,N,9/13/2019,9/30/2019,9/29/2020,225,K12HS026393,,RFA-HS-17-012,5K12HS026393-02,AHRQ:799986\,OTHER RESEARCH-RELATED,2019,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,,PHILADELPHIA,UNITED STATES,,3,73757627,US,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PA,191462305,"PEDSnet Scholars: A Training Program for Pediatric Learning Health System Researchers Project Narrative The proposed PEDSnet Scholars training program will contribute to a new generation of investigators committed to co-producing research with health system stakeholders in order to improve child health and health system performance. The structured training and intensive mentorship they receive in research, health system leadership, improvement, and meaningful coproduction of research will make them leaders in testing innovations in healthcare delivery, biomedical science, informatics, and technology and implementing best practices. Application of these skills will directly improve health outcomes of the nation?s children and the performance of pediatric healthcare organizations.",1892329; ,"FORREST, CHRISTOPHER B;","HSIEH, CHINGHUI",9/30/2018,9/29/2023,,PEDSnet Scholars: A Training Program for Pediatric Learning Health System Researchers,26393,ZHS1,Special Emphasis Panel ,,,2,,,799986,
9788231,K12,HS,5,N,9/13/2019,9/30/2019,9/29/2020,226,K12HS026369,,RFA-HS-17-012,5K12HS026369-02,AHRQ:609929\,OTHER RESEARCH-RELATED,2019,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,,OAKLAND,UNITED STATES,,13,150829349,US,3497005,KAISER FOUNDATION RESEARCH INSTITUTE,CA,946123466,"Narrative Our proposed K12 program, CATALyST (Consortium for Applied Training to Advance the Learning health system with Scholars/Trainees), is a partnership based on decades of successful regional training and research collaborations among Kaiser Permanente Washington, University of Washington (Schools of Nursing, Medicine, Pharmacy and Public Health), and the VA Puget Sound Health Care System, and a newer collaboration with the recently founded Washington State University College of Medicine. We are committed to expanding the cadre of embedded researchers conducting learning health system research in delivery systems through mentored career development. Our mentored K12 program will accelerate the efficiency and effectiveness of learning health system research by training the next generation of researchers in this growing field.",6720678 (contact); 6490034; ,"BUIST, DIANA SM (contact); LOZANO, PAULA ;","HSIEH, CHINGHUI",9/30/2018,9/29/2023,,CATALyST: Consortium for Applied Training to Advance the Learning health system with Scholars/Trainees,26369,ZHS1,Special Emphasis Panel ,,,2,,,609929,
9794132,R01,HS,5,N,9/16/2019,9/30/2019,9/29/2020,226,R01HS024532,SCHOOLS OF MEDICINE,PA-12-241,5R01HS024532-05,AHRQ:499999\,Non-SBIR/STTR RPGs,2019,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,,SAN FRANCISCO,UNITED STATES,SURGERY,12,94878337,US,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941186215,"PROJECT NARRATIVE Progress has been slow in reducing the number of preventable complications and healthcare-associated infections after surgery. Efficient and accurate reporting of surgical performance and healthcare-associated infections is essential for improvement, but the current reporting model involves data collection that is inaccurate, delayed, burdensome and/or expensive. The proposed study seeks to apply new advanced informatics technology to the electronic health record in order to establish a novel model for timely, accurate, and efficient automated surgical performance and healthcare-associated infection measures that can be used nationally to improve quality and save patient lives.",10040542; ,"WICK, ELIZABETH C;","ELDRIDGE, NOEL",9/30/2016,9/29/2020,,Leveraging Advanced Informatics to Automate Data Collection of Healthcare Associated Infections (HAI) and Other Surgical Performance Measures,24532,HSQR,Healthcare Patient Safety and Quality Improvement Research ,,,5,,,499999,
9795375,I01,VA,5,N,7/25/2019,10/1/2019,9/30/2020,999,I01RX002296,,RFA-RX-17-001,5I01RX002296-03,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,LOMA LINDA,UNITED STATES,,31,612729368,US,481116,VA LOMA LINDA HEALTHCARE SYSTEM,CA,923571000,"PROJECT NARRATIVE: Improving Restoration of Middle-Ear Function Following Blast-Related Injuries Because of the environments in which military personnel operate, they are significantly more likely to suffer service-related hearing losses. Restoration of hearing following conductive hearing loss due to excessive blast- related noises has had limited success, because the hearing field currently has only a rudimentary understanding of how the structures of the middle ear transmit sound under pathological conditions. The studies in the current proposal will significantly advance our knowledge of how middle-ear structures work to accurately transmit sound. By measuring sound-pressure levels and movements of middle-ear structures in normal and damaged ears, we can more precisely diagnose the specific causes of a blast-induced hearing loss, and design and implement more effective surgical methods and replacement prosthetics to optimally restore hearing. The knowledge gained from the proposed research will be of value not only in habilitating military personnel and Veterans, but also for other patients suffering from conductive hearing losses.",8654069; ,"DONG, WEI ;",,10/1/2017,9/30/2020,3-Dimensional; Acoustics; Anatomic Models; Animal Model; Auricular prosthesis; base; bone; Cadaver; Characteristics; Clinical; clinical Diagnosis; Clinical Treatment; Cochlea; Complex; Conductive hearing loss; Congenital Abnormality; Data; design; Development; Devices; Diagnosis; Dimensions; Dislocations; Ear; Ear Injury; Ear ossicles; Environment; Evaluation; Excision; Exhibits; experience; Experimental Models; Failure; flexibility; Frequencies; Gerbils; Glues; Goals; healing; Hearing; hearing impairment; hearing restoration; Human; improved; Incus; Individual; Injury; Intraoperative Monitoring; Investigation; Knowledge; Labyrinth; Lasers; manubrium; Measurement; Measures; Methods; middle ear; Military Personnel; Modeling; Monitor; Morphology; Motion; Movement; Noise; normal hearing; operation; Operative Surgical Procedures; otoacoustic emission; Outcome; Pathologic; Pathology; Patients; Pattern; Perforation; physical property; Preparation; pressure; Procedures; Process; Production; Prosthesis; reconstruction; Reconstructive Surgical Procedures; repaired; Research; Residual state; restoration; Role; Rupture; sample fixation; sensor; Services; Soldier; sound; Stapes; Structure; success; Surgical Disarticulation; System; Temporal bone structure; Testing; Time; tool; transmission process; tumor; Tympanic membrane; Tympanic Membrane Perforation; Veterans; vibration; Work; ,Improving Restoration of Middle-Ear Function Following Blast Related Injuries,2296,RRD3,Sensory Systems & Communication Disorders ,,,3,,,,
9801079,R03,HS,1,N,9/9/2019,9/30/2019,9/29/2020,226,R03HS026939,,PA-18-794,1R03HS026939-01,AHRQ:100000\,Non-SBIR/STTR RPGs,2019,AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,,PHILADELPHIA,UNITED STATES,,3,73757627,US,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PA,191462305,"Narrative Bag mask ventilation is considered a fundamental resuscitative skill for all pediatric acute care providers. It is difficult to perform in critically ill children due to challenging patient anatomy and physiology, yet objective measure of bag mask ventilation quality has not been developed. This study will address the critical gap in knowledge about the quality of bag mask ventilation in critically ill children to identify targets for educational interventions, and measure the clinical impact of quality of bag mask ventilation on patient outcomes including arterial blood oxygen desaturation and brain regional oxygen desaturation.",10680150; ,"NISHISAKI, AKIRA ;","GRAY, DARRYL T",9/30/2019,9/29/2020,,Quality of bag mask ventilation in critically ill children,26939,HEOR,Healthcare Effectiveness and Outcomes Research ,,,1,,,100000,
9824466,I01,VA,5,N,9/17/2019,10/1/2019,9/30/2020,999,I01RX000304,,RFA-RX-18-005,5I01RX000304-09,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,TEMPLE,UNITED STATES,,31,29847394,US,10018464,OLIN TEAGUE VETERANS CENTER,TX,765047451,"While resilience is the norm, many of our nation?s post-9/11 Iraq and Afghanistan war Veterans struggle with impaired social and occupational functioning related to posttraumatic stress disorder, depression, alcohol use disorders, traumatic brain injury, and chronic pain, conditions that frequently co-occur. Crucially, these conditions also increase risk for suicide. We plan to continue following a cohort of post-9/11 Veterans for two additional years to identify novel, modifiable predictors of long-term functional impairment and suicide risk. In addition, we will use what we have learned in our prior research phases to adapt, refine based on Veterans? feedback, and pilot test a psychological treatment specifically designed to promote long-term functional recovery among Veterans experiencing any combination of these mental and physical wounds of war.",10768141; ,"MEYER, ERIC CHRISTOPHER;",,6/1/2010,9/30/2022,Accounting; Afghanistan; alcohol use disorder; Award; base; behavior change; Behavior Therapy; Chronic; chronic pain; chronic painful condition; Clinical; cohort; Comorbidity; Compassion; Complex; Data; design; Development; Diagnostic; emotion regulation; emotional distress; evidence base; Evidence based intervention; Exhibits; experience; Feedback; Feeling suicidal; flexibility; Fruit; functional disability; functional outcomes; Funding; Goals; Healthcare; Impairment; improved; improved functioning; Individual; Injury; innovation; Intervention; Iraq; Lead; Life; Literature; Longitudinal Studies; Mediating; Mental Depression; Mental Health; Mental Health Services; Methods; mindfulness; Modeling; Morals; novel; Occupational; Paper; Peer Review; Phase; Post-Traumatic Stress Disorders; Prevention program; Procedures; prospective; protective factors; Psyche structure; psychologic; Psychosocial Factor; Qualitative Research; Quality of life; Randomized; Recovery; Recovery of Function; Regulation; Research; resilience; Risk; Risk Factors; Self-Direction; social; suicidal risk; Symptoms; targeted treatment; Testing; Time; Traumatic Brain Injury; treatment as usual; Treatment outcome; treatment program; Veterans; Violence; Vision; War; ,The impact of modifiable psychosocial factors on Veterans? long-term trajectories of functioning and quality of life: Promoting recovery by targeting mindfulness and psychological flexibility,304,RRD4,Behavioral Health & Social Reintegration ,,,9,,,,
9824470,I01,VA,5,N,9/23/2019,10/1/2019,9/30/2020,999,I01RX002699,,RFA-RX-18-003,5I01RX002699-02,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,PHILADELPHIA,UNITED STATES,,3,71609291,US,481078,PHILADELPHIA VA MEDICAL CENTER,PA,191044551,"Project Narrative Posttraumatic stress disorder (PTSD) affects between 10-25% of Veterans and significantly impacts the military, the individual, and society. Several psychotherapies, including cognitive processing therapy (CPT), have been recommended as efficacious for the treatment of PTSD. Yet many individuals show limited benefit from such treatments. There is therefore a urgent need to identify relevant factors that may affect treatment response in PTSD. Accumulating evidence indicates that cognitive deficits adversely affect psychotherapy efficacy in PTSD. However, research is critically needed that examines the pathways by which cognitive functioning affects treatment outcomes to provide an empirical basis for the development of appropriate rehabilitation interventions. The proposed study aims to systematically examine how memory dysfunction affects treatment outcomes during CPT, including memory for treatment, treatment utilization, PTSD symptoms, and functional outcomes, with the goal of guiding development of novel rehabilitation interventions.",10978384; ,"SCOTT, JAMES COBB;",,10/1/2018,9/30/2022,Address; Adherence; Affect; Aftercare; Ambulatory Care Facilities; base; Behavioral; Clinical; clinical practice; Cognition; Cognitive; Cognitive deficits; cognitive function; cognitive performance; cognitive testing; Cognitive Therapy; combat; community center; Development; Diagnostic; Disease; Emotional; Emotions; Enrollment; Episodic memory; executive function; Exhibits; experience; Foundations; functional outcomes; functional status; Future; General Population; Goals; Healthcare; Healthcare Systems; Impaired cognition; improved; Individual; innovation; insight; Intervention; Interview; Lead; Measures; Mediating; Medical center; Memory; memory consolidation; Memory impairment; Military Personnel; Mission; Modeling; Neuropsychology; novel; Outcome; Participant; Pathway interactions; Performance; Philadelphia; Post-Traumatic Stress Disorders; Prediction of Response to Therapy; prospective memory; Psychotherapy; Public Health; Questionnaires; reduce symptoms; Rehabilitation therapy; Research; research and development; Role; Societies; symptom treatment; Symptoms; Testing; therapy outcome; Time; Translating; treatment adherence; Treatment Effectiveness; Treatment Efficacy; Treatment outcome; treatment response; Verbal Learning; Veterans; Work; ,Cognitive and Psychotherapy in PTSD: Mechanisms and Functional Outcomes,2699,RRD4,Behavioral Health & Social Reintegration ,,,2,,,,
9825390,I01,VA,5,N,9/9/2019,10/1/2019,9/30/2020,999,I01RX002919,,RFA-RX-18-003,5I01RX002919-02,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,SEATTLE,UNITED STATES,,9,20232971,US,481094,VA PUGET SOUND HEALTHCARE SYSTEM,WA,981081532,"Our goals for the AMPREDICT PROsthetic prediction model are based on a conceptual model that assumes each patient presents with a composite of risk factors from several important health domains and these factors when considered together with rehab environment, prosthetic componentry, and risk of reamputation have a profound impact on functional mobility. A rigorously developed and validated prediction model (AMPREDICT- PROsthetics) is proposed that will predict functional prosthetic mobility based on an individual's composite of risk factors prior to prosthetic prescription. Rather than relying on subjective estimates of future K-levels not based on evidence, or relying on clinical experience alone, the prediction model will provide the probability of achieving four hierarchical levels of mobility in each individual patient. This predicted probability can then be matched to the most appropriate prosthetic component sophistication.",1974123; ,"CZERNIECKI, JOSEPH M;",,10/1/2018,9/30/2021,Activities of Daily Living; Address; Adult; Affect; Amputation; Amputees; analytical tool; Back; base; care systems; Caring; Characteristics; Clinical; clinical decision support; Clinical Practice Guideline; Cognitive; Comorbidity; Computerized Medical Record; Continuity of Patient Care; cost; Data; data warehouse; Databases; Decision Making; demographics; Department of Defense; design; Development; Environment; Evaluation; experience; Future; Gender; Geography; Goals; Health; Health behavior; health care availability; health care disparity; Health Care Visit; Health Personnel; health related quality of life; Health Services Accessibility; Healthcare; Healthcare Systems; Hour; improved; Individual; individual patient; Inpatients; Internet; Limb Prosthesis; Literature; Lower Extremity; Measures; Medical; Mental Health; mobility rehabilitation; model development; Modeling; Nutritional; Outcome; Outcome Measure; Outpatients; Patient Care; patient expectation; Patient Self-Report; patient subsets; Patient-Focused Outcomes; Patients; Population; predictive modeling; Probability; Procedures; programs; Prosthesis; Provider; Publishing; Quality of life; Recommendation; Rehabilitation therapy; rehabilitative care; relative effectiveness; Reporting; Research; Resources; Risk; Risk Factors; Role; satisfaction; Shapes; smartphone Application; Social support; support tools; System; systematic review; Time; tool; Travel; United States Agency for Healthcare Research and Quality; Variant; Veterans; Walking; ,AMPREDICT PRO- Predicting Prosthetic Mobility and Matching Prosthetic Characteristics to Patient Functional Goals,2919,RRD2,Musculoskeletal Health & Function ,,,2,,,,
9825393,I01,VA,5,N,9/17/2019,10/1/2019,9/30/2020,999,I01RX002625,,RFA-RX-18-003,5I01RX002625-02,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,DECATUR,UNITED STATES,,4,824835805,US,481023,VETERANS HEALTH ADMINISTRATION,GA,300334004,"The proposed project will examine a promising brief therapy for PTSD for use in VHA Primary Care and its impact on functional outcomes. This intervention will provide an alternative point of access to effective PTSD treatment and improved function that does not require referral to specialty mental health and accomplishes improved function in a short-term, brief protocol. Many Veterans prefer to receive mental health care, including PTSD service in primary care. The current protocol would allow them to access effective therapy options in addition to the medication management that is currently the standard of care for PTSD in primary care. In addition, this brief protocol may reduce the number of specialty mental health referrals as many Veterans may not require additional PTSD specific treatment after completion. Thus, if effective, this protocol will greatly increase Veteran treatment choice and improve functional outcomes and access while also increasing efficiency of allocation of specialty PTSD services.",8146844; ,"RAUCH, SHEILA A.M.;",,10/1/2018,9/30/2022,Address; Afghanistan; Aftercare; attentional control; base; Behavior Therapy; behavioral health; brief intervention; care seeking; Caring; Chronic; Clinic; Clinical; Clinical Practice Guideline; Clinical Research; combat; Conflict (Psychology); cost; Diagnosis; Diagnostic; effective intervention; effective therapy; Effectiveness; Event; evidence base; Evidence based treatment; Exclusion Criteria; experience; Exposure to; follow up assessment; follow-up; functional disability; functional outcomes; Goals; Health; Health Personnel; Health Services Accessibility; Health Surveys; Healthcare; implementation strategy; improved; improved functioning; Individual; Infrastructure; Intention; Intervention; Iraq; Life; Measures; medical specialties; Medication Management; meetings; Mental Depression; Mental Health; Military Personnel; Modeling; Monitor; Motivation; Outcome; Patient Self-Report; Patients; Pharmaceutical Preparations; Pilot Projects; Post-Traumatic Stress Disorders; Primary Health Care; primary outcome; Probability; Protocols documentation; Psychotherapy; Quality of life; Questionnaires; Randomized; Randomized Clinical Trials; Randomized Controlled Trials; Recovery; recruit; Reporting; Research; Research Design; Research Personnel; Research Priority; Resources; Role; seal; service member; Services; Severities; standard of care; Symptoms; Testing; Training; Translating; treatment as usual; treatment choice; Treatment Protocols; Veterans; Work; World Health Organization Disability Assessment Schedule; ,Improving Function Through Primary Care Treatment of PTSD,2625,RRD4,Behavioral Health & Social Reintegration ,,,2,,,,
9836160,I01,VA,1,N,9/18/2019,10/1/2019,9/30/2020,999,I01RX002916,,RFA-RX-18-013,1I01RX002916-01A2,,Non-SBIR/STTR RPGs,2019,Veterans Affairs,,HINES,UNITED STATES,,7,67445429,US,481028,EDWARD HINES JR VA HOSPITAL,IL,601413030,"The objectives of this VA Merit application are to identify a neural target unique to Veterans with co-occurring alcohol use disorder and mild traumatic brain injury (AUD+mTBI) and to test the efficacy of this target as a stimulation site for repetitive transcranial magnetic stimulation (rTMS) treatment to maximize functional recovery. rTMS will soon be a treatment option at 30 VAs nationwide and preliminary studies show promise for AUD and mTBI treatment. A better understanding of how AUD+mTBI impacts the brain needs to occur in order to advance rTMS to optimize function. This research is aligned with the VA RR&D?s mission to generate knowledge and innovations to advance the rehabilitative health and care of Veterans, to effectively integrate clinical and applied rehabilitation research, and translate research results into practice. This research is also aligned with the goal of the Psychological Health & Social Reintegration portfolio to develop interventions improving psychological health status of Veterans enabling them to function more fully in society.",8788266; ,"HERROLD, AMY ;",,10/1/2019,9/30/2023,Accounting; Activities of Daily Living; Address; alcohol abuse therapy; Alcohol consumption; alcohol craving; alcohol cue; Alcohol dependence; Alcohol or Other Drugs use; alcohol use disorder; Alcohols; base; Brain; brain dysfunction; Brain Injuries; Characteristics; Clinical; Custom; Data; density; design; Devices; effective therapy; efficacy testing; Factor Analysis; FDA approved; Fiber; follow-up; Frequencies; functional disability; Functional Magnetic Resonance Imaging; Goals; gray matter; Health Status; Healthcare; Image; improved; indexing; innovation; Intervention; Interview; Knowledge; Left; Literature; Measures; Mental Health; mild traumatic brain injury; Mission; MRI Scans; multimodality; nerve injury; neuroimaging; neuropsychiatry; Neuropsychology; neuroregulation; Neurorehabilitation; Outcome; Outcomes Research; Participant; Patient Self-Report; Population; Prefrontal Cortex; Procedures; Process; Protocols documentation; Randomized; Recording of previous events; Recovery; Recovery of Function; recruit; Rehabilitation Research; Rehabilitation therapy; relating to nervous system; repetitive transcranial magnetic stimulation; Research; response; Rest; Sampling; Severities; Site; social; Societies; Structure; Symptoms; Testing; Therapeutic; Time; Translating; Traumatic Brain Injury; treatment effect; Veterans; white matter; World Health Organization Disability Assessment Schedule; ,Neural Target Identification for Functional Disability Associated with Alcohol Related Characteristics Among Veterans with Co-occurring Alcohol Use Disorder and Traumatic Brain Injury,2916,RRD4,Behavioral Health & Social Reintegration ,,A2,1,,,,
